asset_name	archive_file	source_url	license	artist	deck
TarotPentacles04	p04.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotPentacles05	p05.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotPentacles06	p06.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotPentacles07	p07.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotPentacles08	p08.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotPentacles09	p09.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotPentacles10	p10.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotPentaclesPage	p11.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotPentaclesKnight	p12.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotPentaclesQueen	p13.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotPentaclesKing	p14.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotSwordsAce	s01.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotSwords02	s02.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotSwords03	s03.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
